village,2012,2020
Kakoi,2553,2953
Sangaiwe,2886,3740
Matale A,7600,9682
Ngoswaki,3410,4635
Olchoro Onyokie,1170,1661
Eleng'ata Dapash,3175,5020
Engaruka Chini,2080,2800
Losirwa,4577,6683
Kitwai A,2300,3018
Nadonjukin,2598,4805
Kimana,7358,9242
Katikati,2923,3671
